Category,Motivation,Label,Len,Text
physics,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",0,131,recognition extraordinary services rendered discovery remarkable rays subsequently named
medicine,"""for his work on serum therapy especially its application against diphtheria by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",1,240,work serum therapy especially application diphtheria opened new road domain medical science thereby placed hands physician victorious weapon illness deaths
peace,"""for his humanitarian efforts to help wounded soldiers and create international understanding""",2,94,humanitarian efforts help wounded soldiers create international understanding
peace,"""for his lifelong work for international peace conferences diplomacy and arbitration""",2,85,lifelong work international peace conferences diplomacy arbitration
literature,"""in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect""",3,177,special recognition poetic composition gives evidence lofty idealism artistic perfection rare combination qualities heart intellect
chemistry,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",4,146,recognition extraordinary services rendered discovery laws chemical dynamics osmotic pressure solutions
chemistry,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",4,104,recognition extraordinary services rendered work sugar purine syntheses
literature,"""the greatest living master of the art of historical writing with special reference to his monumental work <I>A history of Rome</I>""",3,132,greatest living master art historical writing special reference monumental work IA history RomeI
peace,"""for his eminently practical administration of the Inter-Parliamentary Union""",2,77,eminently practical administration InterParliamentary Union
peace,"""for his untiring and skilful directorship of the Bern Peace Bureau""",2,68,untiring skilful directorship Bern Peace Bureau
physics,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",0,136,recognition extraordinary service rendered researches influence magnetism upon radiation phenomena
medicine,"""for his work on malaria by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",1,178,work malaria shown enters organism thereby laid foundation successful research disease methods combating
physics,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",0,136,recognition extraordinary service rendered researches influence magnetism upon radiation phenomena
physics,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",0,158,recognition extraordinary services rendered joint researches radiation phenomena discovered Professor Henri Becquerel
peace,"""for his longstanding and devoted effort in favour of the ideas of peace and arbitration""",2,89,longstanding devoted effort favour ideas peace arbitration
physics,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",0,108,recognition extraordinary services rendered discovery spontaneous radioactivity
physics,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",0,158,recognition extraordinary services rendered joint researches radiation phenomena discovered Professor Henri Becquerel
chemistry,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element""",4,213,recognition services advancement chemistry discovery elements radium polonium isolation radium study nature compounds remarkable element
medicine,"""in recognition of his contribution to the treatment of diseases especially lupus vulgaris with concentrated light radiation whereby he has opened a new avenue for medical science""",1,180,recognition contribution treatment diseases especially lupus vulgaris concentrated light radiation whereby opened new avenue medical science
literature,"""as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",3,171,tribute noble magnificent versatile poetry always distinguished freshness inspiration rare purity spirit
chemistry,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",4,137,recognition extraordinary services rendered advancement chemistry electrolytic theory dissociation
literature,"""in recognition of the numerous and brilliant compositions which in an individual and original manner have revived the great traditions of the Spanish drama""",3,157,recognition numerous brilliant compositions individual original manner revived great traditions Spanish drama
physics,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",0,133,investigations densities important gases discovery argon connection studies
peace,"""for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane""",2,113,striving public law develop peaceful ties nations make laws war humane
chemistry,"""in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system""",4,146,recognition services discovery inert gaseous elements air determination place periodic system
medicine,"""in recognition of his work on the physiology of digestion through which knowledge on vital aspects of the subject has been transformed and enlarged""",1,149,recognition work physiology digestion knowledge vital aspects subject transformed enlarged
literature,"""in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a Proven&ccedil;al philologist""",3,236,recognition fresh originality true inspiration poetic production faithfully reflects natural scenery native spirit people addition significant work Provenccedilal philologist
chemistry,"""in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds""",4,159,recognition services advancement organic chemistry chemical industry work organic dyes hydroaromatic compounds
literature,"""because of his outstanding merits as an epic writer""",3,53,outstanding merits epic writer
physics,"""for his work on cathode rays""",0,30,work cathode rays
peace,"""for her audacity to oppose the horrors of war""",2,47,audacity oppose horrors war
medicine,"""for his investigations and discoveries in relation to tuberculosis""",1,68,investigations discoveries relation tuberculosis
literature,"""not only in consideration of his deep learning and critical research but above all as a tribute to the creative energy freshness of style and lyrical force which characterize his poetic masterpieces""",3,200,consideration deep learning critical research tribute creative energy freshness style lyrical force characterize poetic masterpieces
peace,"""for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia""",2,123,role bringing end bloody war recently waged two worlds great powers Japan Russia
physics,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",0,129,recognition great merits theoretical experimental investigations conduction electricity gases
medicine,"""in recognition of their work on the structure of the nervous system""",1,69,recognition work structure nervous system
chemistry,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine and for the adoption in the service of science of the electric furnace called after him""",4,201,recognition great services rendered investigation isolation element fluorine adoption service science electric furnace called
medicine,"""in recognition of their work on the structure of the nervous system""",1,69,recognition work structure nervous system
medicine,"""in recognition of his work on the role played by protozoa in causing diseases""",1,79,recognition work role played protozoa causing diseases
chemistry,"""for his biochemical researches and his discovery of cell-free fermentation""",4,76,biochemical researches discovery cellfree fermentation
literature,"""in consideration of the power of observation originality of imagination virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",3,188,consideration power observation originality imagination virility ideas remarkable talent narration characterize creations worldfamous author
peace,"""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences""",2,93,decisive influence upon conduct outcome Hague Geneva Conferences
peace,"""for his work in the press and in peace meetings both public and private for an understanding between France and Italy""",2,119,work press peace meetings public private understanding France Italy
physics,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",0,120,optical precision instruments spectroscopic metrological investigations carried aid
